Dish Name: Vegetable Soup; Category: soup; Ingredients: carrot, parsley root, celery, onion; Allergens: None; Tags: vegetarian, light; Rating: 0
Dish Name: Cheese Pasta; Category: dish; Ingredients: pasta, cheese, sour cream; Allergens: gluten, milk; Tags: vegetarian; Rating: 0
Dish Name: Grilled Chicken Breast with Bulgur; Category: dish; Ingredients: chicken breast, bulgur, oil; Allergens: gluten; Tags: high-protein; Rating: 0
Dish Name: Green Pea Soup; Category: soup; Ingredients: green peas, carrot, onion; Allergens: None; Tags: vegetarian; Rating: 0
Dish Name: Vegetable Couscous; Category: dish; Ingredients: couscous, vegetables, oil; Allergens: gluten; Tags: vegetarian; Rating: 0
Dish Name: Roast Pork with Potatoes; Category: dish; Ingredients: pork, potatoes, oil; Allergens: None; Tags: traditional; Rating: 0
Dish Name: Garlic Cream Soup; Category: soup; Ingredients: garlic, cream, flour; Allergens: milk, gluten; Tags: vegetarian; Rating: 3
Dish Name: Mushroom Risotto; Category: dish; Ingredients: rice, mushroom, cheese; Allergens: milk; Tags: vegetarian; Rating: 0
Dish Name: Turkey Meatballs with Tomato Sauce; Category: dish; Ingredients: turkey, egg, breadcrumbs, tomato; Allergens: gluten, egg; Tags: high-protein; Rating: 0
Dish Name: Lentil Soup; Category: soup; Ingredients: lentils, carrot, onion; Allergens: None; Tags: vegetarian, high-protein; Rating: 0
Dish Name: Vegetable Stir Fry; Category: dish; Ingredients: mixed vegetables, soy sauce, oil; Allergens: soy; Tags: vegetarian; Rating: 0
Dish Name: Beef Stew with Barley; Category: dish; Ingredients: beef, barley, onion; Allergens: gluten; Tags: traditional; Rating: 5
Dish Name: Pumpkin Cream Soup; Category: soup; Ingredients: pumpkin, cream; Allergens: milk; Tags: vegetarian; Rating: 0
Dish Name: Spinach Pasta; Category: dish; Ingredients: pasta, spinach, cream; Allergens: gluten, milk; Tags: vegetarian; Rating: 0
Dish Name: Grilled Fish with Lemon Potatoes; Category: dish; Ingredients: fish, potatoes, lemon; Allergens: fish; Tags: light; Rating: 0
Dish Name: Chicken Ragout Soup; Category: soup; Ingredients: chicken, vegetables, flour; Allergens: gluten; Tags: traditional; Rating: 0
Dish Name: Sweet Cottage Cheese Dumplings; Category: dish; Ingredients: cottage cheese, semolina, egg; Allergens: milk, gluten, egg; Tags: sweet, vegetarian; Rating: 0
Dish Name: Stuffed Cabbage; Category: dish; Ingredients: cabbage, pork, rice; Allergens: None; Tags: traditional; Rating: 0
Dish Name: Tomato Soup with Basil; Category: soup; Ingredients: tomato, basil; Allergens: None; Tags: vegetarian, light; Rating: 0
Dish Name: Vegetable Lasagna; Category: dish; Ingredients: pasta, vegetables, cheese; Allergens: gluten, milk; Tags: vegetarian; Rating: 0
Dish Name: Chicken Paprikash with Noodles; Category: dish; Ingredients: chicken, paprika, noodles, sour cream; Allergens: gluten, milk; Tags: traditional; Rating: 0
Dish Name: Bean Soup; Category: soup; Ingredients: beans, carrot, onion; Allergens: None; Tags: vegetarian, high-protein; Rating: 4
Dish Name: Egg Fried Rice; Category: dish; Ingredients: rice, egg, soy sauce; Allergens: egg, soy; Tags: vegetarian; Rating: 0
Dish Name: Roast Duck with Red Cabbage; Category: dish; Ingredients: duck, red cabbage; Allergens: None; Tags: traditional; Rating: 0
Dish Name: Cream of Broccoli Soup; Category: soup; Ingredients: broccoli, cream; Allergens: milk; Tags: vegetarian; Rating: 5
Dish Name: Cheese Polenta; Category: dish; Ingredients: cornmeal, cheese; Allergens: milk; Tags: vegetarian, gluten-free; Rating: 4
Dish Name: Pork Stew with Noodles; Category: dish; Ingredients: pork, noodles, onion; Allergens: gluten; Tags: traditional; Rating: 0
Dish Name: Vegetable Ragout Soup; Category: soup; Ingredients: vegetables, flour; Allergens: gluten; Tags: vegetarian; Rating: 0
Dish Name: Mushroom Pasta; Category: dish; Ingredients: pasta, mushroom; Allergens: gluten; Tags: vegetarian; Rating: 0
Dish Name: Fried Fish with Potato Salad; Category: dish; Ingredients: fish, potatoes, oil; Allergens: fish; Tags: traditional; Rating: 0
Dish Name: Fruit Soup; Category: soup; Ingredients: mixed fruits, sugar; Allergens: None; Tags: sweet, vegetarian; Rating: 4
Dish Name: Semolina Pudding with Cocoa; Category: dish; Ingredients: semolina, milk, cocoa; Allergens: gluten, milk; Tags: sweet, vegetarian; Rating: 0
Dish Name: Grilled Turkey Breast with Rice; Category: dish; Ingredients: turkey, rice; Allergens: None; Tags: high-protein; Rating: 0
Dish Name: Potato Soup; Category: soup; Ingredients: potatoes, onion; Allergens: None; Tags: vegetarian; Rating: 0
Dish Name: Vegetable Stew with Bread; Category: dish; Ingredients: vegetables, bread; Allergens: gluten; Tags: vegetarian; Rating: 0
Dish Name: Beef Stroganoff with Pasta; Category: dish; Ingredients: beef, cream, pasta; Allergens: milk, gluten; Tags: traditional; Rating: 3
Dish Name: Zucchini Cream Soup; Category: soup; Ingredients: zucchini, cream; Allergens: milk; Tags: vegetarian; Rating: 0
Dish Name: Vegetable Fried Noodles; Category: dish; Ingredients: noodles, vegetables, soy sauce; Allergens: gluten, soy; Tags: vegetarian; Rating: 0
Dish Name: Roast Chicken Thigh with Rice; Category: dish; Ingredients: chicken, rice; Allergens: None; Tags: traditional; Rating: 0
Dish Name: Green Bean Soup; Category: soup; Ingredients: green beans, carrot; Allergens: None; Tags: vegetarian; Rating: 0
Dish Name: Potato Dumplings with Sauce; Category: dish; Ingredients: potato, flour; Allergens: gluten; Tags: vegetarian; Rating: 0
Dish Name: Braised Pork with Vegetables; Category: dish; Ingredients: pork, vegetables; Allergens: None; Tags: traditional; Rating: 0
Dish Name: Cauliflower Soup; Category: soup; Ingredients: cauliflower, carrot; Allergens: None; Tags: vegetarian; Rating: 0
Dish Name: Cheese Rice; Category: dish; Ingredients: rice, cheese; Allergens: milk; Tags: vegetarian; Rating: 0
